level_indent,unique_key,sd_code,part_no,part_name,process,line_no,supplier,quantity
      3,NRI001,NRI001,NSSW-YM28,Weilding Wire YM-28 1.2 mm. x pail pack(300kg),Component,R1,NIPPON RIKA,0.0036
      3,SOJ602,SOJ602,GREAS-MA021,GREASE MULTEMP TA NO1 (15Kg.),Component,R1,SOJITA,0.0015
  1,PN:7R212-X7535,DUM,7R212-X7535,"BRACKET SUB-ASSY, PWR SEAT, FR CUSH, 2",,,,1.0
    2,CAP-01,CAP-01,71111-X1C00,"FRAME, FR SEAT CUSHION, FR RH",1000T,P01-3,Inhouse(P),1.0
      3,TTC038,TTC038,SPC44-12574,SPC440 1.2 X 574 X C(P=94)/2,,,TTAST,0.5083
      3,SUN002,SUN002,SUNS-484P,SUNPRESS S-484P(200L/1Pail),,,,0.0025
        4,KSP004,KSP004,ELECRON-E,ELECRON ADDITIVE E,Component,R1,THAI KANSAI,0.0004
        4,KSP001,KSP001,ELECRON-F1,ELECRON GT-10LF BLACK F1,Component,R1,THAI KANSAI,0.0012
        4,KSP002,KSP002,ELECRON-F2,ELECRON GT-10LF BLACK F2,Component,R1,THAI KANSAI,0.005
        4,KSP003,KSP003,ELECRON-N1,ELECRON ADDITIVE N1,Component,R1,THAI KANSAI,0.0004
        4,PAR011,PAR011,PALFOS-525TD,PALFOS PF525TD (PF-525TD) (20 Kg./1Can),Component,R1,THAI PARKERIZIING,0.001
          5,ETP-07,ETP-07,72141-X1V08,"BRACKET, FR OUTER SEAT TRACK, LWR FR RH",1000T,Coil,Inhouse(P),1.0
            6,TTC066,TTC066,SPH44-20347,SPH440-OD 2.0 X 347 X C(P=118)/2,Component,R1,TTAST,0.3215
,,,,,,,,0.0013
          5,MIT171,MIT171,72149-X1V10,"PIN, FR SEAT LOCATION",Component,R1,THAI MITCHI,1.0
          5,BWT001,BWT001,KISDM-KRC28,Kiswel-KR KC-28 1.2MM (300Kg P/Pack),Component,R1,BANGKOK WELDING,0.0036
          5,ETP-08,ETP-08,72142-X1V08,"BRACKET, FR OUTER SEAT TRACK, LWR FR LH",1000T,P01-1,Inhouse(P),1.0
            6,TTC066,TTC066,SPH44-20347,SPH440-OD 2.0 X 347 X C(P=118)/2,Component,R1,TTAST,0.3215
,,,,,,,,0.0013
    2,SOB253,SOB253,72441-X1C01,"LINK, VERTICAL TRAVEL",,,SOHBI,1.0
    2,MIT154,MIT154,72448-X1C01,"PIN, VERTICAL ADJUSTER, NO.2",,,THAI MITCHI,1.0
    2,MIT159,MIT159,72469-X1C01,"PIN, VERTICAL ADJUSTER, NO.6",,,THAI MITCHI,1.0
      3,MIY021,MIY021,72443-X1M01,"GEAR, VERTICAL TRAVEL, NO.3",Component,R1,MIYAMA,1.0
      3,MIT158,MIT158,72469-X1C00,"PIN, VERTICAL ADJUSTER, NO.6",,,THAI MITCHI,1.0
  1,BTS062,BTS062,89978-X1B01,"WASHER, PLATE",,,BTS,1.0
  1,BTS063,BTS063,89978-X1C02,"WASHER, PLATE",,,BTS,1.0
  1,AOY008,AOY008,90174-10025,"NUT, WELD",,,AOYAMA,2.0
  1,OIL004,OIL004,72478-X1C02,"BUSH, VERTICAL ADJUSTER",,,OILES,1.0
  1,MIT253,MIT253,7S001-X7A00,"LINK SUB-ASSY, FR MNL SEAT LIFTER, FR 1",,,THAI MITCHI,1.0
    2,SOB252,SOB252,72441-X1B01,"LINK, VERTICAL TRAVEL, NO.1",,,SOHBI,1.0
    2,MIT152,MIT152,72447-X1B01,"PIN, VERTICAL ADJUSTER, NO.1",,,THAI MITCHI,1.0
    2,OIL001,OIL001,72478-X1B02,"BUSH, VERTICAL ADJUSTER",,,OILES,2.0
  1,SOJ602,SOJ602,GREAS-MA021,GREASE MULTEMP TA NO1 (15Kg.),Component,R1,SOJITA,0.001
  1,BWT001,BWT001,KISDM-KRC28,Kiswel-KR KC-28 1.2MM (300Kg P/Pack),Component,R1,BANGKOK WELDING,0.0066
,,,,,,,,
0,DA8-83,DA8-83,72041-X7V44,"ADJUSTER SUB-ASSY, FR SEAT, INNER RH",Finish Good,HAM,,
  1,PN:71305-X7V19,DUM,71305-X7V19,"TILT SUB-ASSY, FR SEAT, RH",,,,1.0
    2,SOB253,SOB253,72441-X1C01,"LINK, VERTICAL TRAVEL",,,SOHBI,1.0
    2,SNA021,SNA021,72441-X7V14,"LINK, VERTICAL TRAVEL",Component,R1,SANIA,1.0
    2,MIT154,MIT154,72448-X1C01,"PIN, VERTICAL ADJUSTER, NO.2",,,THAI MITCHI,2.0
    2,YDT034,YDT034,72511-X7V08,"ARM, FR SEAT HINGE, UPR RH",Component,R1,SDI,1.0
